the facts get in the way
Basic
0.6 0.6
432 172.8
Moved 947.2622 443.7377 480 0.1938373 0.3431373
Moved 947.3246 444 466.2504 0.1944444 0.3010123
Moved 947.3865 415.26 394.3452 0.1279167 0.08071441
Moved 947.4473 401.0487 320.5841 0.09502003 -0.1452693
Moved 947.5091 399 276.9981 0.09027779 -0.2788048
Moved 947.5701 399 256 0.09027779 -0.3431373
Moved 947.6459 399 250 0.09027779 -0.3615196
Moved 947.7081 381.3185 279.5222 0.04934847 -0.2710717
Moved 947.8009 321 387.5 -0.09027779 0.0597427
Moved 947.8615 294.2641 427.6038 -0.1521664 0.1826096
Moved 947.9227 275.8196 450.1804 -0.1948619 0.2517781
Moved 947.9853 265.406 459.594 -0.2189676 0.2806189
Ended 948.0503 264 463.5 -0.2222222 0.2925858
PhraseEnd 948.7201
